Tipo,CDA,Product SKU SAP,SKU,Tipo Documento Factu,Numero de Serie,Correl. Serie,Marca,Cantidad C.U,Cantidad C.F,Ingresos en Soles,Fee 1,Importe Total Factura,Ventas Brutas
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,148388,INCA KOLA,35.031,28,383.32,48.41,483.51,409.7542373
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,148389,INCA KOLA,37.533,30,410.7,51.87,518.03,439.0084746
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,148390,INCA KOLA,70.062,56,824.88,96.82,1052.91,892.2966102
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,148391,INCA KOLA,1.251,1,14.73,1.73,18.81,15.94067797
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,148395,INCA KOLA,5.004,4,55.86,6.92,60.8,51.52542373
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,148408,INCA KOLA,1.251,1,14.71,1.73,17.49,14.8220339
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,148409,INCA KOLA,0.626,0.5,7.37,0.87,8.11,6.872881356
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,149121,INCA KOLA,473.541,378.5,5287.65,654.43,6692.19,5671.347458
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,149122,INCA KOLA,24.396,19.5,272.42,33.72,344.77,292.1779661
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,149123,INCA KOLA,193.921,155,2080.1,268,2614.77,2215.90678
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,149124,INCA KOLA,256.476,205,2806.45,354.45,3539.89,2999.90678
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,149126,INCA KOLA,74.44,59.5,876.44,102.88,1118.7,948.0508475
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,149131,INCA KOLA,8.132,6.5,90.8,11.24,98.83,83.75423729
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,149143,INCA KOLA,1.251,1,14.73,1.73,17.93,15.19491525
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,149144,INCA KOLA,0.626,0.5,7.37,0.87,8.11,6.872881356
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,149554,INCA KOLA,502.212,401.417,5607.79,694.05,7097.38,6014.728814
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,149555,INCA KOLA,34.405,27.5,384.18,47.55,486.22,412.0508475
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,149557,INCA KOLA,143.877,115,1574.35,198.84,1985.8,1682.881356
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,149559,INCA KOLA,61.929,49.5,729.14,85.59,930.68,788.7118644
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,149560,INCA KOLA,0.626,0.5,7.38,0.87,9.41,7.974576271
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,149564,INCA KOLA,6.256,5,69.85,8.65,73.97,62.68644068
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,149586,INCA KOLA,3.128,2.5,36.84,4.32,44.86,38.01694915
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,150373,INCA KOLA,514.098,410.917,5740.51,710.48,7265.33,6157.059322
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,150374,INCA KOLA,40.661,32.5,454.03,56.19,574.64,486.9830508
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,150375,INCA KOLA,25.022,20,268.4,34.58,337.4,285.9322034
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,150376,INCA KOLA,145.128,116,1588.04,200.56,2003.09,1697.533898
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,150378,INCA KOLA,104.467,83.5,1229.96,144.37,1569.97,1330.483051
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,150379,INCA KOLA,5.004,4,58.92,6.92,75.2,63.72881356
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,150382,INCA KOLA,3.128,2.5,34.94,4.32,37,31.3559322
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,150397,INCA KOLA,4.379,3.5,51.56,6.05,62.78,53.20338983
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,150399,INCA KOLA,1.251,1,14.72,1.73,17.5,14.83050847
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,150985,INCA KOLA,468.746,374.667,5234.09,647.8,6624.4,5613.898305
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,150986,INCA KOLA,41.912,33.5,468,57.92,592.31,501.9576271
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,150987,INCA KOLA,43.789,35,469.7,60.52,590.42,500.3559322
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,150988,INCA KOLA,486.678,389,5325.41,672.58,6717.19,5692.533898
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,150990,INCA KOLA,53.172,42.5,626.03,73.48,799.08,677.1864407
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,150991,INCA KOLA,4.379,3.5,51.54,6.05,65.79,55.75423729
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,150996,INCA KOLA,1.877,1.5,20.95,2.59,23.05,19.53389831
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,150997,INCA KOLA,10.634,8.5,118.74,14.7,125.75,106.5677966
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,151011,INCA KOLA,9.383,7.5,110.48,12.97,134.49,113.9745763
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,151014,INCA KOLA,3.753,3,44.18,5.19,52.49,44.48305085
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,160877,INCA KOLA,490.744,392.25,5479.73,678.2,6935.31,5877.381356
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,160878,INCA KOLA,41.286,33,461.01,57.06,583.46,494.4576271
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,160879,INCA KOLA,62.555,50,671,86.45,843.48,714.8135593
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,160880,INCA KOLA,148.881,119,1629.11,205.75,2054.86,1741.40678
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,160881,INCA KOLA,37.533,30,410.68,51.87,518.01,438.9915254
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,160882,INCA KOLA,105.718,84.5,1244.69,146.1,1588.75,1346.398305
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,160883,INCA KOLA,3.128,2.5,36.83,4.32,47.01,39.83898305
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,160905,INCA KOLA,1.251,1,14.73,1.73,17.94,15.20338983
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,160907,INCA KOLA,1.251,1,14.72,1.73,17.5,14.83050847
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,160909,INCA KOLA,2.502,2,29.47,3.46,33.26,28.18644068
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,161473,INCA KOLA,513.368,410.333,5732.36,709.47,7255.03,6148.330508
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,161474,INCA KOLA,36.907,29.5,412.12,51.01,521.57,442.0084746
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,161475,INCA KOLA,51.295,41,550.22,70.89,691.66,586.1525424
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,161476,INCA KOLA,82.573,66,903.54,114.11,1139.69,965.8389831
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,161478,INCA KOLA,72.564,58,854.34,100.28,1090.51,924.1610169
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,161479,INCA KOLA,1.877,1.5,22.09,2.59,28.19,23.88983051
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,161506,INCA KOLA,2.502,2,29.46,3.46,34.99,29.65254237
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,162424,INCA KOLA,491.213,392.625,5484.97,678.85,6941.93,5882.991525
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,162425,INCA KOLA,18.767,15,209.55,25.94,265.21,224.7542373
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,162426,INCA KOLA,175.154,140,1878.8,242.06,2361.75,2001.483051
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,162427,INCA KOLA,258.978,207,2833.83,357.9,3574.44,3029.186441
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,162429,INCA KOLA,75.118,60.042,884.41,103.81,1128.89,956.6864407
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,162430,INCA KOLA,6.256,5,73.63,8.65,93.98,79.6440678
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,162460,INCA KOLA,1.251,1,14.72,1.73,17.92,15.18644068
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,162461,INCA KOLA,1.251,1,14.72,1.73,17.5,14.83050847
